Id,Service,Category,Description
391,AWS Lambda,Compute,Run code without thinking about servers
392,AWS Lambda@Edge,,Run your code closer to your users
393,AWS Landing Zone,,
394,AWS Launch Wizard,Management & Governance,"Easily size, configure, and deploy third party applications on AWS"
395,AWS License Manager,Management & Governance,"Track, manage, and control licenses"
396,AWS Mainframe Modernization,Migration,"Migrate, modernize, operate, and run mainframe workloads"
397,AWS Managed Services,Management & Governance,Infrastructure operations management for AWS
398,AWS Management Console,Management & Governance,Web-based user interface
399,AWS Management Console Mobile Application,Management & Governance,Access resources on the go
400,AWS Marketplace,,"Find, test, buy, and deploy software that runs on AWS"
401,AWS Marketplace Catalog,,Manage AWS Marketplace for your AWS organization or AWS account
402,AWS Marketplace Commerce Analytics Service,,Programmatically access product and customer data through AWS Marketplace
403,AWS Marketplace Entitlement Service,,Determine the entitlement of a customer to a given product
404,AWS Marketplace for Containers Anywhere,Containers,"Find, subscribe to, and deploy third-party applications that run in any Kubernetes environment"
405,AWS Marketplace Management Portal,,
406,AWS Marketplace Metering Service,,
407,AWS Marketplace Private Image Build,,Build and deploy Amazon Machine Images (AMIs) that combine your private “gold images” with installable third party products from independent software vendors
408,AWS Marketplace Private Marketplace,,Create customized private catalogs of approved products from AWS Marketplace
409,AWS Marketplace Procurement Systems Integration,,Integrate AWS Marketplace into your procurement system to help centralize governance for software provisioning
410,AWS Microservice Extractor for .NET,,Simplify refactoring .NET applications
411,AWS Migration Hub,Migration,Track migrations from a single place
412,AWS Migration Hub Refactor Spaces,,Manage the refactor process while operating in production
413,AWS Migration Hub Strategy Recommendations,,Accelerates migration and modernization
414,AWS Multi-Factor Authentication (AWS MFA),,
415,AWS Network Firewall,"Security, Identity, & Compliance",Deploy network security across your Amazon VPCs with just a few clicks
416,AWS Network Manager,,Centrally manage your Amazon Web Services Cloud WAN core network and your Amazon Web Services Transit Gateway network
417,AWS Nitro System,,A combination of dedicated hardware and lightweight hypervisor enabling faster innovation and enhanced security
418,AWS OpsWorks,Management & Governance,Automate operations with Chef and Puppet
419,AWS OpsWorks Configuration Management (CM),,
420,AWS OpsWorks for Chef Automate,,Fully managed Chef server and Chef Automate
421,AWS OpsWorks for Puppet Enterprise,,Fully Managed Puppet Master
422,AWS OpsWorks Stacks,,Automate Operations with Chef
423,AWS Organizations,Management & Governance,Central governance and management across AWS accounts
424,AWS Outposts,Compute,Run AWS infrastructure on-premises
425,AWS Outposts 1U and 2U,Compute,Run AWS Outposts in smaller locations
426,AWS Panorama,Machine Learning,Improve your operations with computer vision at the edge
427,AWS Panorama Appliance,,
428,AWS ParallelCluster,,Deploy and manage high performance computing (HPC) clusters in the AWS Cloud
429,AWS Partner Device Catalog,Internet of Things,Curated catalog of AWS-compatible IoT hardware
430,AWS Personal Health Dashboard,Management & Governance,Personalized view of AWS service health
431,AWS Prescriptive Guidance,,Resources from AWS technology experts and AWS Partners to help accelerate cloud adoption and modernization
432,AWS Price List,,
433,AWS Price List Service,,
434,AWS Pricing Calculator,,Estimate the cost for your architecture solution
435,AWS Private 5G,Networking & Content Delivery,"Easily deploy, manage, and scale a private cellular network"
436,AWS PrivateLink,Networking & Content Delivery,Securely access services hosted on AWS
437,AWS Professional Services,,Helping you achieve your desired business outcomes with AWS
438,AWS Proton,Management & Governance,Automate management for container and serverless deployments
439,AWS Purchase Order Management,,Enable your AWS procurement process to be cloud-ready
440,AWS Quick Starts,,Automated deployments in the AWS Cloud
441,AWS re:Post,,
442,AWS Resilience Hub,Management & Governance,Prepare and protect your applications from disruptions
443,AWS Resource Access Manager,"Security, Identity, & Compliance","Simple, secure service to share AWS resources"
444,AWS Resource Groups,,Organize your AWS resources into groups
445,AWS Resource Groups Tag Editor,,Edit tags for multiple AWS resources at once
446,AWS RoboMaker,Robotics,"Develop, test, and deploy robotics applications"
447,AWS Savings Plans,,Flexible pricing model for AWS Services
448,AWS Schema Conversion Tool (AWS SCT),,Convert your existing database schema from one database engine to another
449,AWS Secrets Manager,"Security, Identity, & Compliance","Rotate, manage, and retrieve secrets"
450,AWS Security Hub,"Security, Identity, & Compliance",Unified security and compliance center
451,AWS Security Token Service (AWS STS),,"Request temporary, limited-privilege credentials for AWS Identity and Access Management (IAM) users or for users you authenticate (federated users)"
452,AWS Server Migration Service (SMS),Migration,Migrate on-premises servers to AWS
453,AWS Serverless Application Model (AWS SAM),,Build serverless applications in simple and clean syntax
454,AWS Serverless Application Repository,Compute,"Discover, deploy, and publish serverless applications"
455,AWS Service Catalog,Management & Governance,Create and use standardized products
456,AWS Shield,"Security, Identity, & Compliance",DDoS protection
457,AWS Shield Advanced,,
458,AWS Signer,,Cryptographically sign computer code for AWS Lambda applications and AWS-supported IoT devices
459,AWS Simple Active Directory,,"Fully managed, Samba-based directory in the AWS cloud"
460,AWS Single Sign-On (SSO),"Security, Identity, & Compliance",Cloud single sign-on (SSO) service
461,AWS Single Sign-On (SSO) Identity Store,,A single place to retrieve all of your identities (users and groups)
462,AWS Site-to-Site VPN,,Extend your on-premises networks to the cloud
463,AWS Snow Device Management,,Manage your AWS Snowcone device and local AWS services remotely
464,AWS Snow Family,Storage,Physical edge computing and storage devices for rugged or disconnected environments
465,AWS Snowball,,Petabyte-scale data transport with on-board storage and compute capabilities
466,AWS Snowcone,,"Snowcone is a small, rugged edge compute and data storage product"
467,AWS Snowmobile,,Migrate or transport exabyte-scale data sets into and out of AWS
468,AWS Solutions Library,,Vetted technology solutions for the AWS Cloud
469,AWS Step Functions,Application Integration,Coordination for distributed applications
470,AWS Storage Gateway,Storage,Hybrid storage integration
471,AWS Support,,Provides support for users of Amazon Web Services
472,AWS Systems Manager,Management & Governance,Gain operational insights and take action
473,AWS Systems Manager Agent (SSM Agent),,
474,AWS Systems Manager Incident Manager,,Incident management and automated response in AWS Systems Manager
475,AWS Tools and SDKs,Developer Tools,Tools and SDKs for AWS
476,AWS Tools for PowerShell,,Manage your AWS services and resources in the PowerShell scripting environment
477,AWS Tools for PowerShell Core,,Manage your AWS services and resources in the PowerShell Core scripting environment
478,AWS Training and Certification,,Build your AWS Cloud knowledge
479,AWS Transfer Family,Migration,"Fully managed SFTP, FTPS, and FTP service"
480,AWS Transit Gateway,Networking & Content Delivery,Easily scale VPC and account connections
481,AWS Trusted Advisor,Management & Governance,Optimize performance and security
482,AWS VPN,Networking & Content Delivery,Securely access your network resources
483,AWS VPN CloudHub,,
484,AWS WAF (AWS Web Application Firewall),"Security, Identity, & Compliance",Filter malicious web traffic
485,AWS WAF Bot Control,,
486,AWS WAF Classic (AWS Web Application Firewall Classic),,
487,AWS Wavelength,Compute,Deliver ultra-low latency applications for 5G devices
488,AWS Well-Architected Tool,Architecture Strategy,Review and improve your workloads
489,AWS X-Ray,Developer Tools,Analyze and debug your applications
490,Babelfish for Aurora PostgreSQL,,
491,Contact Lens for Amazon Connect,Business Applications,Real-time contact center analytics powered by machine learning
492,Database Query Metadata Service,,
493,Elastic Fabric Adapter,,Run HPC and ML applications at scale
494,Elastic Load Balancing (ELB),Networking & Content Delivery,Distribute incoming traffic across multiple targets
495,Fleet Hub for AWS IoT Device Management,,Build standalone web applications for monitoring the health of your device fleets
496,Migration Evaluator (formerly TSO Logic),Migration,Create a business case for cloud migration
497,NICE DCV,,Deliver high-performance remote desktop and application streaming
498,NICE EnginFrame,,Integrate on-premises and AWS high performance computing environments
499,Open 3D Engine (O3DE),Game Tech,Build games and 3D simulations with O3DE
500,Porting Assistant for .NET,,Insight and assistance for porting from .NET Framework to .NET Core
501,PyTorch on AWS,Machine Learning,Flexible open-source machine learning framework
502,Recycle Bin for Amazon EBS Snapshots,,Restore accidentally deleted EBS snapshots
503,Red Hat OpenShift Service on AWS,Containers,Managed OpenShift in the cloud
504,Reserved Instance (RI) Reporting,Cloud Financial Management,Dive deeper into your reserved instances (RIs)
505,Savings Plans,Cloud Financial Management,Save up to 72% on compute usage with flexible pricing
506,Service Quotas,,View and manage your quotas for AWS services from a central location
507,TensorFlow on AWS,Machine Learning,Open-source machine intelligence library
508,VMware Cloud on AWS,Compute,Build a hybrid cloud without custom hardware
509,VMware Cloud on AWS Outposts,,VMware Cloud in your on-premises environments
